,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
115,"Taste (feat. Offset)",Tyga,762273,https://open.spotify.com/track/5IaHrVsrferBYDm0bDyABy
116,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",759646,https://open.spotify.com/track/0FZ4Dmg8jJJAPJnvBIzD9z
117,"My Bad",Khalid,758792,https://open.spotify.com/track/2XKFnwB6djxrJCjR3PdeRb
118,"I Like Me Better",Lauv,753446,https://open.spotify.com/track/2P91MQbaiQOfbiz9VqhqKQ
119,"God's Plan",Drake,753213,https://open.spotify.com/track/6DCZcSspjsKoFjzjrWoCdn
120,"Si Se Da","Myke Towers",750734,https://open.spotify.com/track/5KbBGUpIZd6gVFUU8tqYiQ
121,ilomilo,"Billie Eilish",748045,https://open.spotify.com/track/7qEKqBCD2vE5vIBsrUitpD
122,"Body (feat. brando)","Loud Luxury",741527,https://open.spotify.com/track/7K7MUBCnzgBAvMVW2RTWNs
123,"Jocelyn Flores",XXXTENTACION,739271,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
124,"Psycho (feat. Ty Dolla $ign)","Post Malone",738131,https://open.spotify.com/track/3swc6WTsr7rl9DqQKQA55C
125,Soltera,Lunay,735932,https://open.spotify.com/track/4T4CZ3Q4z3GG7lU720YYhM
126,"Dancin (feat. Luvli) - Krono Remix","Aaron Smith",728277,https://open.spotify.com/track/6WkJ2OK163XXS2oARUC9JM
127,Aullando,"Wisin & Yandel",726209,https://open.spotify.com/track/7BuHdm4lQqcyG3qTwdkxus
128,HOME,BTS,720334,https://open.spotify.com/track/7lthOBXNue2IvedLRfkod8
129,"Under Pressure - Remastered",Queen,719844,https://open.spotify.com/track/2fuCquhmrzHpu5xcA1ci9x
130,Dionysus,BTS,718633,https://open.spotify.com/track/6JdS5rJvJaRA7B1tcm7kxZ
131,"One Kiss (with Dua Lipa)","Calvin Harris",717792,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
132,"Say My Name","David Guetta",715641,https://open.spotify.com/track/0YammaEkYSeo9vQYZ1OwS6
133,Adictiva,"Daddy Yankee",710685,https://open.spotify.com/track/6MJUCumnQsQEKbCy28tbCP
134,"ocean eyes","Billie Eilish",706822,https://open.spotify.com/track/2uIX8YMNjGMD7441kqyyNU
135,"listen before i go","Billie Eilish",705453,https://open.spotify.com/track/0tMSssfxAL2oV8Vri0mFHE
136,Thunder,"Imagine Dragons",704159,https://open.spotify.com/track/1zB4vmk8tFRmM9UULNzbLB
137,"Wake Up in the Sky","Gucci Mane",699930,https://open.spotify.com/track/2G1tXoGBaEMJ7FKGnkf6ud
138,bellyache,"Billie Eilish",697872,https://open.spotify.com/track/51NFxnQvaosfDDutk0tams
139,"no tears left to cry","Ariana Grande",686158,https://open.spotify.com/track/2qT1uLXPVPzGgFOx4jtEuo
140,Cool,"Jonas Brothers",685543,https://open.spotify.com/track/3QmolSZqjjLksTUvZJ6pPS
141,"Love Someone","Lukas Graham",680334,https://open.spotify.com/track/3id2EVGKc3eFAMn9nFnB0r
142,Shotgun,"George Ezra",662467,https://open.spotify.com/track/4ofwffwvvnbSkrMSCKQDaC
143,"Lost In Japan","Shawn Mendes",654950,https://open.spotify.com/track/79esEXlqqmq0GPz0xQSZTV
144,"Say You Won't Let Go","James Arthur",652923,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
145,"Nothing Breaks Like a Heart (feat. Miley Cyrus)","Mark Ronson",651285,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF
146,"Ela É do Tipo","MC Kevin o Chris",649384,https://open.spotify.com/track/2x8TNY9KwNvD19gVGs4WOP
147,"Con Calma - Remix","Daddy Yankee",648670,https://open.spotify.com/track/4au7FRcgZzChASRYu279xH
148,"Too Good At Goodbyes","Sam Smith",646478,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV
149,"The Middle",Zedd,646231,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
